,,,,,,,,,,
Total Transportation Cost ->,,," $46,588.00 ",,,,,,,
,,,,,,,,,,
,Ship,From,To,Unit Cost,,Nodes,Inflow,Outflow,Netflow,Supply/Demand
,252,0,8, $38 ,,0,0,252,-252,-252
,324,1,4, $32 ,,1,0,324,-324,-324
,324,2,7, $32 ,,2,0,324,-324,-324
,29,3,5, $36 ,,3,238,29,209,209
,0,3,6, $36 ,,4,383,238,145,145
,0,3,8, $38 ,,5,29,0,29,129
,238,4,3, $25 ,,6,209,0,209,209
,0,4,8, $42 ,,7,324,195,129,129
,0,6,4, $44 ,,8,252,73,179,179
,0,7,4, $49 ,,,,,,
,195,7,6, $35 ,,,,,,
,59,8,4, $35 ,,,,,,
,14,8,6, $28 ,,,,,,
