Shift,1,2,3,4,5,6,7,8,9,10,11,12,Workers Schedule,Wages per Worker
,,,,,,,,,,,,,,
Crackleberry Confections,1,1,1,0,0,0,0,0,0,0,0,0,0," $23,712 "
Puff & Pop Confectionery,0,0,0,0,0,0,1,1,1,0,0,0,0," $24,372 "
Treat Parade,0,0,0,0,0,0,1,1,1,0,0,0,168," $18,387 "
Sticky Fingers & Co.,0,0,1,1,1,0,0,0,0,0,0,0,130," $23,892 "
The Sweetsmith Society,0,0,0,0,0,0,0,0,0,1,1,1,266," $22,770 "
Truffle Shuffle,0,0,0,1,1,1,0,0,0,0,0,0,56," $18,258 "
Full Time,1,1,1,1,1,1,1,1,1,1,1,1,340," $67,332 "
Available,340,340,470,526,526,396,508,508,508,606,606,606,,
Required,249,340,470,526,461,340,283,357,508,606,566,430,Total ->," $36,167,124 "
