,,Df0929d3,D4364665,D2d95387,D0f6eec2,D085fbca,D017c84c,,,,
,,Taffy Tundra,Praline Park,Nougat Nook,Tartberry Thicket,Waffle Cone Wonderland,Pineapple Pop Paradise,Capacity,,,
S4592718,Gummy Grotto,$0.13,$0.05,$0.19,$0.11,$0.13,$0.06,183,,,
S947e7b6,Lemon Drop Lagoon,$0.15,$0.07,$0.17,$0.18,$0.09,$0.16,144,,,
S6e0cec4,Honeycomb Highlands,$0.07,$0.10,$0.06,$0.16,$0.09,$0.14,184,,,
S0c4f7e2,Cocoa Bean Crater,$0.09,$0.19,$0.16,$0.09,$0.08,$0.17,186,,,
,Demand,130,126,136,123,135,123,,,,
,,,,,,,,,,Objective,$49.71
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,Taffy Tundra,Praline Park,Nougat Nook,Tartberry Thicket,Waffle Cone Wonderland,Pineapple Pop Paradise,Sent,Capacity,,
,Gummy Grotto,0,60,0,0,0,123,183,183,,
,Lemon Drop Lagoon,0,66,0,0,78,0,144,144,,
,Honeycomb Highlands,48,0,136,0,0,0,184,184,,
,Cocoa Bean Crater,6,0,0,123,57,0,186,186,,
,Demand,130,126,136,123,135,123,,,,
,Received,54,126,136,123,135,123,,,,
